Pop,IndID,Cap,Brac_RowNr,SerBrac_RowNr,Brac_appress,Brac_Color,SerBrac_yes_no,Brac_Len,Brac_Wid,BracApCen_Len,BracApCen_Wid
CB,3,1,12,10,3,1,yes,241.67,95.08,65.51,38.33
CB,3,2,10,9,3,1,yes,255.69,96.18,60.3,33.24
CB,5,1,9,6,3,1,yes,216.01,68.26,56.32,25.18
CB,5,2,9,8,2,1,yes,200.9,60.67,46.04,26.17
CB,6,1,8,6,1,1,yes,197.46,73.06,45.54,55.33
CB,6,2,9,8,1,1,yes,197.21,83.02,37.05,53.34
CB,7,1,11,9,2,1,yes,171.03,58.31,45.89,19.65
CB,7,2,9,8,3,1,yes,219.53,86.83,50.22,37.64
CB,8,1,11,10,1,1,yes,233.11,68.07,66.01,24.08
CB,8,2,11,9,3,1,yes,244.39,70.03,93.43,37.34
CB,9,1,9,8,2,1,yes,215.64,70.83,43.42,74.15
CB,9,2,9,8,2,1,yes,178.1,72.34,47.17,35.01
CB,10,1,8,7,2,1,yes,203.67,54.23,47.38,19.03
CB,11,1,9,8,2,1,yes,194.01,65.12,44.18,35.13
CB,11,2,8,7,2,1,yes,188.22,64.03,45.61,30.81
CB,12,1,7,6,2,1,yes,165.59,65.07,46.1,31
CB,12,2,7,6,2,1,yes,161.2,73.11,47.04,31.06
CB,13,1,9,8,2,1,yes,217.08,90.24,65.8,41.63
CB,13,2,9,8,2,1,yes,219.15,85.38,68.35,35.44
CB,14,1,8,7,3,1,yes,221.9,61.29,75.17,27.07
CB,14,2,8,7,2,1,yes,218.22,78.75,66.1,24.35
CB,15,1,9,8,1,1,yes,204.4,78.16,53.04,23.02
CB,15,2,9,8,1,1,yes,193.19,58.42,43.93,28.28
CB,16,1,9,7,3,1,yes,233.21,69.26,99.5,39.2
CB,16,2,8,6,3,1,yes,246.81,85.01,96.02,33.06
CB,17,1,8,7,3,1,yes,306.11,77.13,113.78,23.77
CB,17,2,9,8,3,1,yes,255.23,77.93,105.72,25.63
CB,18,1,10,5,1,2,no,250,91.08,69.01,61.07
CB,18,2,9,5,1,2,yes,251.73,84.15,74.04,44.27
CB,19,1,9,6,1,1,yes,186.08,67.62,41.44,39.56
CB,19,2,9,6,1,1,yes,179.85,76.16,41.44,36.67
CB,20,1,11,10,2,1,yes,186.45,77.06,56.14,30.07
CB,20,2,10,10,2,1,yes,197.25,66.65,43.86,28.65
